rank,school,headshot,position,college_year,first_name,last_name,athletic,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,pfn,ringer,si,usa,walter,yahoo,std_dev,avg
102,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ooqte0b3hovyxrceclvb",LB,SR.,Blake,Cashman,94,–,84,59,203,271,44,204,59,60,78,–,65,–,–,77.1,111
103,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103785.png,OT,SR.,Chuma,Edoga,–,–,90,120,154,123,64,91,64,175,55,80,234,–,–,55.3,113.64
104,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103860.png,WR,JR.,Mecole,Hardman,92,–,186,95,98,67,311,88,168,92,89,62,93,–,95,67.9,118.15
105,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103845.png,LB,JR.,Vosean,Joseph,98,–,175,121,68,196,140,128,100,147,–,60,116,78,–,41.5,118.92
106,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103679.png,RB,JR.,Justice,Hill,95,–,85,90,118,98,132,185,190,78,–,–,130,81,–,39.7,116.55
107,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fo7xii7odvxopiaov87v",IDL,JR.,Trysten,Hill,91,–,130,153,248,87,92,62,144,99,82,–,90,–,–,51.8,116.18
108,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103620.png,CB,SR.,Isaiah,Johnson,97,–,121,103,208,153,107,130,86,98,–,–,101,–,94,35.4,118
109,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103650.png,S,SR.,Marquise,Blair,–,–,140,119,135,103,130,99,78,113,–,–,103,–,–,19.9,113.33
110,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bxk2zzxxaov6rnsgtnbk",IDL,RS SR.,Gerald,Willis III,–,–,125,131,103,104,180,102,118,–,–,96,122,52,–,33.9,108.91
111,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103649.png,ED,SR.,Ben,Banogu,–,–,187,105,96,80,122,211,102,85,–,–,113,85,–,44.7,118.6
112,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103861.png,OT,RS JR.,Bobby,Evans,–,–,–,70,90,114,90,140,107,107,–,100,140,–,–,23,106.44
