Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,TeamTgt%,G,Routes,Tar,Rec,G,null
52,34407,00-0034407,NFL,MCC417118,https://static.www.nfl.com/image/upload/{formatInstructions}/league/nvwn3sdihyyd2itjt7vy,Ray-Ray McCloud,Ray-Ray McCloud,WR,Atlanta Falcons,ATL,200,200,200,ATL,Falcons,ACT,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,16.1%,17,546,87,62,17,
53,33090,00-0033090,NFL,HEN617052,https://static.www.nfl.com/image/upload/{formatInstructions}/league/l0fsrutz9fwbohx10lcf,Hunter Henry,Hunter Henry,TE,New England Patriots,NE,3200,3200,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#002244,AFC,19.4%,16,481,97,66,16,
54,34753,00-0034753,NFL,AND701433,https://static.www.nfl.com/image/upload/{formatInstructions}/league/wzx3p0hzm3qyqsrfqznb,Mark Andrews,Mark Andrews,TE,Baltimore Ravens,BAL,325,325,325,BAL,Ravens,ACT,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#24135F,AFC,15.1%,17,356,69,55,17,
55,35719,00-0035719,NFL,SAM636097,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ntgyhqg6hq7fanhhsqiw,Deebo Samuel Sr.,Deebo Samuel Sr.,WR,San Francisco 49ers,SF,4500,4500,5110,WAS,Commanders,ACT,5110,WAS,Commanders,Washington,Washington Commanders,,,,,#AA0000,NFC,15.8%,15,415,81,51,15,
56,38977,00-0038977,NFL,DEL440817,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ykyiamjbjkjklnnttisw,Tank Dell,Tank Dell,WR,Houston Texans,HOU,2120,2120,2120,HOU,Texans,PUP,2120,HOU,Texans,Houston,Houston Texans,,,,,#021018,AFC,14.8%,14,447,81,51,14,
57,34829,00-0034829,NFL,GES490798,https://static.www.nfl.com/image/upload/{formatInstructions}/league/mfswo0trev4oi2gnb41e,Mike Gesicki,Mike Gesicki,TE,Cincinnati Bengals,CIN,920,920,920,CIN,Bengals,ACT,920,CIN,Bengals,Cincinnati,Cincinnati Bengals,,,,,#FB4F14,AFC,13.2%,17,418,83,65,17,
58,30061,00-0030061,NFL,ERT800920,https://static.www.nfl.com/image/upload/{formatInstructions}/league/xktmmeumuoglbuam75iz,Zach Ertz,Zach Ertz,TE,Washington Commanders,WAS,5110,5110,5110,WAS,Commanders,ACT,5110,WAS,Commanders,Washington,Washington Commanders,,,,,#5A1414,NFC,18.1%,17,504,91,66,17,
59,36894,00-0036894,NFL,FRE439769,https://static.www.nfl.com/image/upload/{formatInstructions}/league/sozfjyy3bmntjv8tmqah,Pat Freiermuth,Pat Freiermuth,TE,Pittsburgh Steelers,PIT,3900,3900,3900,PIT,Steelers,ACT,3900,PIT,Steelers,Pittsburgh,Pittsburgh Steelers,,,,,#000000,AFC,17.0%,17,445,78,65,17,
60,39894,00-0039894,NFL,WOR741496,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ue6fp8xwnyo7ftvabbb8,Xavier Worthy,Xavier Worthy,WR,Kansas City Chiefs,KC,2310,2310,2310,KC,Chiefs,ACT,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,17.1%,17,510,98,59,17,
61,38621,00-0038621,NFL,DOU259552,https://static.www.nfl.com/image/upload/{formatInstructions}/league/almsm6nmovpasu8ts9u3,DeMario Douglas,DeMario Douglas,WR,New England Patriots,NE,3200,3200,3200,NE,Patriots,ACT,3200,NE,Patriots,New England,New England Patriots,,,,,#002244,AFC,17.4%,17,439,87,66,17,
62,38124,00-0038124,NFL,WAT316591,https://static.www.nfl.com/image/upload/{formatInstructions}/league/syljognztlbghfeqyqn1,Christian Watson,Christian Watson,WR,Green Bay Packers,GB,1800,1800,1800,GB,Packers,PUP,1800,GB,Packers,Green Bay,Green Bay Packers,,,,,#203731,NFC,11.4%,15,270,53,29,15,
63,30035,00-0030035,NFL,THI510348,https://static.www.nfl.com/image/upload/{formatInstructions}/league/peomvmvfqe68czeu8qek,Adam Thielen,Adam Thielen,WR,Carolina Panthers,CAR,750,750,3000,MIN,Vikings,ACT,3000,MIN,Vikings,Minnesota,Minnesota Vikings,,,,,#0085CF,NFC,12.0%,10,299,62,48,10,
64,30564,00-0030564,NFL,HOP161500,https://static.www.nfl.com/image/upload/{formatInstructions}/league/snvo6holyfdjmrlqxqxu,DeAndre Hopkins,DeAndre Hopkins,WR,Kansas City Chiefs,KC,2310,2310,325,BAL,Ravens,ACT,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#E31837,AFC,14.0%,16,356,80,56,16,
64,37666,00-0037666,NFL,TOL148914,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pif5ffxlibkfp90k1sj4,Jalen Tolbert,Jalen Tolbert,WR,Dallas Cowboys,DAL,1200,1200,1200,DAL,Cowboys,ACT,1200,DAL,Cowboys,Dallas,Dallas Cowboys,,,,,#002244,NFC,12.7%,17,548,79,49,17,
66,36970,00-0036970,NFL,PIT516805,https://static.www.nfl.com/image/upload/{formatInstructions}/league/tbec213me3pszzszecqo,Kyle Pitts,Kyle Pitts,TE,Atlanta Falcons,ATL,200,200,200,ATL,Falcons,ACT,200,ATL,Falcons,Atlanta,Atlanta Falcons,,,,,#A71930,NFC,13.7%,17,450,74,47,17,
67,37816,00-0037816,NFL,DOU043165,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ov2llp1bfetznmngqybi,Romeo Doubs,Romeo Doubs,WR,Green Bay Packers,GB,1800,1800,1800,GB,Packers,ACT,1800,GB,Packers,Green Bay,Green Bay Packers,,,,,#203731,NFC,15.5%,13,356,72,46,13,
68,32211,00-0032211,NFL,LOC420915,https://static.www.nfl.com/image/upload/{formatInstructions}/league/h5dsmp4omfoyzqsp07f8,Tyler Lockett,Tyler Lockett,WR,Seattle Seahawks,SEA,4600,4600,2100,TEN,Titans,ACT,2100,TEN,Titans,Tennessee,Tennessee Titans,,,,,#002244,NFC,13.0%,17,545,74,49,17,
68,38129,00-0038129,NFL,OTT712400,https://static.www.nfl.com/image/upload/{formatInstructions}/league/dlgxvfpnufpnxkvu1ynb,Cade Otton,Cade Otton,TE,Tampa Bay Buccaneers,TB,4900,4900,4900,TB,Buccaneers,ACT,4900,TB,Buccaneers,Tampa Bay,Tampa Bay Buccaneers,,,,,#A71930,NFC,15.5%,14,460,87,59,14,
70,39040,00-0039040,NFL,ACH103822,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gjgwhrywjqfkk8bhseuh,De'Von Achane,De'Von Achane,RB,Miami Dolphins,MIA,2700,2700,2700,MIA,Dolphins,ACT,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#008E97,AFC,15.3%,17,399,87,78,17,
