player,pos,team_2024,team_2025,type,snaps,age,current_apy,guarantees,team_abbr_24,team_abbr_25
Joe Tryon-Shoyinka,EDGE,Buccaneers,Browns,Signed,0.483,26,4750000,4750000,TB,CLE
John Jenkins,IDL,Raiders,,UFA,0.546,36,2750000,2750000,LV,NA
Daniel Brunskill,RG,Titans,,UFA,0.624,31,2750000,2750000,TEN,NA
Jon Feliciano,LG,49ers,,UFA,0,33,2750000,2750000,SF,NA
Jerry Tillery,IDL,Vikings,Chiefs,Signed,0.41100000000000003,29,1790000,1790000,MIN,KC
Mekhi Becton,RG,Eagles,Chargers,Signed,0.78,26,10000000,10000000,PHI,LAC
A.J. Dillon,RB,Packers,Eagles,Signed,0,27,1337500,1337500,GB,PHI
Ashtyn Davis,S,Jets,Dolphins,Signed,0.22699999999999998,29,2500000,2500000,NYJ,MIA
Malik Harrison,LB,Ravens,Steelers,Signed,0.32799999999999996,27,5000000,5000000,BAL,PIT
Akeem Davis-Gaither,LB,Bengals,Cardinals,Signed,0.47,28,5000000,5000000,CIN,ARI
Tershawn Wharton,IDL,Chiefs,Panthers,Signed,0.617,27,15016667,15016667,KC,CAR
Easton Stick,QB,Chargers,Falcons,Signed,0,30,1337500,1337500,LAC,ATL
Del'Shawn Phillips,LB,Texans,Chargers,Signed,0.025,29,2000000,2000000,HOU,LAC
Mack Hollins,WR,Bills,Patriots,Signed,0.6629999999999999,32,4200000,4200000,BUF,NE
Sam Franklin,S,Panthers,Broncos,Signed,0.003,29,1337500,1337500,CAR,DEN
Kelvin Beachum,RT,Cardinals,Cardinals,Signed,0.677,36,4000000,4000000,ARI,ARI
Johnny Hekker,P,Panthers,Titans,Signed,0.282,35,1422500,1422500,CAR,TEN
Taylor Heinicke,QB,Chargers,Chargers,Signed,0.021,32,2500000,2500000,LAC,LAC
Dawuane Smoot,EDGE,Bills,,UFA,0.292,30,2500000,2500000,BUF,NA
Linval Joseph,IDL,Cowboys,,UFA,0.24,37,2500000,2500000,DAL,NA
Tremon Smith,CB,Broncos,Texans,Signed,0.016,29,3250000,3250000,DEN,HOU
Carson Wentz,QB,Chiefs,,UFA,0.033,33,2500000,2500000,KC,NA
Duke Riley,LB,Dolphins,,UFA,0.039,31,2500000,2500000,MIA,NA
Cooper Rush,QB,Cowboys,Ravens,Signed,0.488,32,3100000,3100000,DAL,BAL
Isaiah Oliver,CB,Jets,Jets,Signed,0.503,29,2500000,2500000,NYJ,NYJ
Mike Gesicki,TE,Bengals,Bengals,Signed,0.46,30,8500000,8500000,CIN,CIN
Kendall Lamm,RT,Dolphins,Eagles,Signed,0.449,33,1505000,1505000,MIA,PHI
Wes Schweitzer,C,Jets,Patriots,Signed,0.001,32,1555000,1555000,NYJ,NE
Cody Whitehair,LG,Raiders,,UFA,0.19699999999999998,33,2500000,2500000,LV,NA
Cody Barton,LB,Broncos,Titans,Signed,0.912,29,7000000,7000000,DEN,TEN
Tanoh Kpassagnon,EDGE,Saints,,UFA,0.062,31,2500000,2500000,NO,NA
Leki Fotu,IDL,Jets,Raiders,Signed,0.04,27,1439500,1439500,NYJ,LV
Dalton Risner,LG,Vikings,,UFA,0.48100000000000004,30,2410000,2410000,MIN,NA
Tyler Boyd,WR,Titans,,UFA,0.58,31,2400000,2400000,TEN,NA
Nick Harris,C,Browns,,UFA,0.076,27,2395000,2395000,CLE,NA
Evan Brown,C,Cardinals,Cardinals,Signed,0.976,29,5750000,5750000,ARI,ARI
Neville Hewitt,LB,Texans,,UFA,0.311,32,2300000,2300000,HOU,NA
Denzel Perryman,LB,Chargers,Chargers,Signed,0.311,33,2655000,2655000,LAC,LAC
Reggie Gilliam,FB,Bills,Bills,Signed,0.128,28,2000000,2000000,BUF,BUF
Nick Chubb,RB,Browns,,UFA,0.2,30,2275000,2275000,CLE,NA
Royce Newman,LG,Buccaneers,Cardinals,Signed,0.003,28,1337500,1337500,TB,ARI
Jonathan Bullard,IDL,Vikings,,UFA,0.505,32,2250000,2250000,MIN,NA
Zay Jones,WR,Cardinals,Cardinals,Signed,0.23399999999999999,30,2400000,2400000,ARI,ARI
Joshua Dobbs,QB,49ers,Patriots,Signed,0.075,30,4000000,4000000,SF,NE
Zach Pascal,WR,Cardinals,Giants,Signed,0.062,31,1422500,1422500,ARI,NYG
Jalen Pitre,CB,Texans,Texans,Extension,0.603,26,13000000,13000000,HOU,HOU
Elijah Moore,WR,Browns,,UFA,0.7559999999999999,25,2235106,2235106,CLE,NA
Javonte Williams,RB,Broncos,Cowboys,Signed,0.521,25,3000000,3000000,DEN,DAL
Marco Wilson,CB,Bengals,Bengals,Signed,0.21600000000000003,26,1520000,1520000,CIN,CIN
Jevon Holland,S,Dolphins,Giants,Signed,0.8029999999999999,25,15100000,15100000,MIA,NYG
Kyler Gordon,CB,Bears,Bears,Extension,0.679,26,13333333,13333333,CHI,CHI
Braxton Berrios,WR,Dolphins,Texans,Signed,0.098,30,1800000,1800000,MIA,HOU
Amen Ogbongbemiga,LB,Bears,Bears,Signed,0.013999999999999999,27,2500000,2500000,CHI,CHI
